period,position,final_seniority,final_salary,frequency
2017_H1,Data Scientist / Data Analyst,2,280 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1000 nan nan,1
2017_H1,Data Scientist / Data Analyst,1.5,1200 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.5,500 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.25,1700 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.25,375 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.5,200 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,3000 nan nan,1
2017_H1,Data Scientist / Data Analyst,2,660 nan nan,1
2017_H1,Data Scientist / Data Analyst,1.5,1400 nan nan,1
2017_H1,Data Scientist / Data Analyst,1,3500 nan nan,1
2017_H1,Data Scientist / Data Analyst,2,2000 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.25,1500 nan nan,1
2017_H1,Data Scientist / Data Analyst,1,1500 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,700 nan nan,1
2017_H1,Data Scientist / Data Analyst,3,860 nan nan,1
2017_H1,Data Scientist / Data Analyst,1,1200 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.5,1200 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1500 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,700 nan nan,1
2017_H1,Data Scientist / Data Analyst,2,350 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1110 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1000 nan nan,1
2017_H1,Data Scientist / Data Analyst,1,1500 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,3000 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,1500 nan nan,1
2017_H1,Data Scientist / Data Analyst,3,3000 nan nan,1
2017_H1,Data Scientist / Data Analyst,1,1600 nan nan,1
2017_H1,Data Scientist / Data Analyst,1.5,850 nan nan,1
2017_H1,Data Scientist / Data Analyst,1,310 nan nan,1
2017_H1,Data Scientist / Data Analyst,1.5,400 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.5,270 nan nan,1
2017_H1,Data Scientist / Data Analyst,7,3900 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,800 nan nan,1
2017_H1,Data Scientist / Data Analyst,1,700 nan nan,1
2017_H1,Data Scientist / Data Analyst,2,3900 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.5,2000 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.5,8000 nan nan,1
2017_H1,Data Scientist / Data Analyst,4,2700 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.5,400 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,770 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,150 nan nan,1
2017_H1,Data Scientist / Data Analyst,меньше 3 месяцев,2000 nan nan,1
2017_H1,Data Scientist / Data Analyst,2,1700 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.25,800 nan nan,1
2017_H1,Data Scientist / Data Analyst,1.5,2000 nan nan,1
2017_H1,Data Scientist / Data Analyst,2,3700 nan nan,1
2017_H1,Data Scientist / Data Analyst,4,1700 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.5,1000 nan nan,1
2017_H1,Data Scientist / Data Analyst,6,500 nan nan,1
2017_H1,Data Scientist / Data Analyst,3,650 nan nan,1
2017_H1,Data Scientist / Data Analyst,1,1200 nan nan,1
2017_H1,Data Scientist / Data Analyst,1.5,560 nan nan,1
2017_H1,Data Scientist / Data Analyst,1,1300 nan nan,1
2017_H1,Data Scientist / Data Analyst,0.25,350 nan nan,1
2017_H1,Data Scientist / Data Analyst,3,3000 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.25,1100 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,500 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.25,250 nan nan,1
2017_H2,Data Scientist / Data Analyst,0.5,1700 nan nan,1
2017_H2,Data Scientist / Data Analyst,4,3200 nan nan,1
2017_H2,Data Scientist / Data Analyst,1,1000 nan nan,1
